Fecha;Número de Vendedor;Nom_Completo_Vendedor;Número de cliente;Tipo;Departamento - Clave;Departamento;Familia - Clave;Familia;Ventas Netas (Q);Costo
2015-01-01;7;;66;Real;21;;328;TRATAMIENTO DE CONCRETO;31740.12;22046.54
2015-01-01;5;;45;Real;21;;370;PINTURAS DECORATIVAS;2377.3;1761.35
2015-01-01;8;;75;Real;;Pinturas;371;BARNICES ARQUITECTÓNICOS;20422.48;13189.05
2015-01-01;6;;57;Real;21;;372;PINTURA AUTOMOTRIZ;719.8;668.4
2015-01-01;7;;62;Real;21;;376;TINTES PARA MADERA;15589.78;10835.03
2015-01-01;2;;20;Real;21;;751;BROCHAS, RODILLOS Y BANDEJAS;216456.68;116269.21
2015-01-01;5;;48;Real;21;;755;PINTURAS ARQUITECTÓNICAS;1729340.26;1253315.52
2015-01-01;1;;46;Real;21;;756;PINTURAS INDUSTRIALES, PROTECTORAS Y MA;329611.52;238980.14
2015-01-01;1;;14;Real;21;;757;ACABADOS PARA MADERA;90160.44;64186.48
2015-01-01;8;;77;Real;21;;758;PINTURA EN SPRAY;158072.48;84473.02
2015-01-01;6;;51;Real;21;;759;PREPARADORES DE SUPERFICIE ARQUITECTÓNI;114181.26;80830.87
2015-01-01;1;;74;Real;21;;760;DECORACIÓN;10790.87;10033.57
2015-01-01;5;;50;Real;21;;762;HERRAMIENTAS Y ACCESORIOS PARA PINTAR;255852.73;145892.06
2015-01-01;1;;74;Real;22;;303;PLACAS Y MECANISMOS ELECTRICOS;170928;94795.76
2015-01-01;1;;4;Real;22;;949;LINTERNAS;253595.86;144972.01
2015-01-01;1;;74;Real;22;;950;BATERIAS Y CARGADORES;310133.01;187987.69
2015-01-01;1;;68;Real;22;;951;ILUMINACIÓN;1941116.85;1171062.08
2015-01-01;3;;21;Real;22;;952;LAMPARAS;118110.71;62182.14
2015-01-01;2;;11;Real;22;;953;EXTENSIONES Y PROTECTORES DE CORRIENTE;412632.49;225308.93
2015-01-01;1;;6;Real;22;;954;CABLES/ALAMBRES;108779.77;64191.4
2015-01-01;6;;58;Real;22;;955;ACCESORIOS PARA CABLES/ALAMBRES;103799.65;44783.45
2015-01-01;1;;68;Real;22;;956;ESPIGAS, TOMAS DE PENDULO Y COVERTIDORE;38352.95;20149.71
2015-01-01;7;;61;Real;22;;957;TIMERS Y CONTROLES INTELIGENTES;16737.45;9000.1
2015-01-01;5;;49;Real;22;;958;FLIPONES Y CAJAS DE DISTRIBUCIÓN;25772.59;17039.65
2015-01-01;1;;74;Real;22;;959;CAJAS ELÉCTRICAS, TUBERÍAS Y ACCESORIOS;25533.92;12889.75
2015-01-01;1;;68;Real;22;;960;HERRAMIENTAS Y ACCESORIOS PARA TRABAJO;200938.94;103585.43
2015-01-01;1;;59;Real;23;;305;ACCESORIOS PARA HERRAMIENTAS NEUMATICAS;6397.6;3353.34
2015-01-01;1;;47;Real;23;;686;HERRAMIENTAS NEUMÁTICAS;15987.21;8931.31
2015-01-01;8;;82;Real;23;;687;HERRAMIENTAS PARA SOLDAR;115135.16;63253.27
2015-01-01;1;;10;Real;23;;716;HERRAMIENTA ELÉCTRICA;1006667.95;674478.77
2015-01-01;1;;14;Real;23;;717;ACCESORIOS PARA HERRAMIENTAS ELÉCTRICAS;432235.18;228552.84
2015-01-01;1;;47;Real;23;;718;HERRAMIENTAS ESTACIONARIAS;61748.22;36182.41
2015-01-01;1;;6;Real;23;;719;HERRAMIENTA MANUAL PARA CONSTRUCCIÓN;53347.08;31403.32
2015-01-01;7;;63;Real;23;;720;HERRAMIENTA MANUAL PARA CORTAR;125792.81;62750.09
2015-01-01;1;;59;Real;23;;722;HERRAMIENTA MANUAL PARA MEDIR Y MARCAR;86915.97;46642.33
2015-01-01;5;;46;Real;23;;723;HERRAMIENTA MANUAL PARA UNIR / PEGAR;70574.36;37568.18
2015-01-01;3;;22;Real;23;;724;CAJAS DE HERRAMIENTAS Y ORGANIZADORES;206367.67;114467.22
2015-01-01;5;;41;Real;23;;961;GENERADORES DE ENERGÍA;11158.98;8023.69
2015-01-01;1;;68;Real;24;;962;GRIFERÍA;534220.11;300137.6
2015-01-01;2;;18;Real;24;;963;EMPAQUES;9100.83;4046.66
2015-01-01;1;;68;Real;24;;964;TUBERÍA, CONEXIONES Y DRENAJE;447723.18;226192.21
2015-01-01;1;;14;Real;24;;971;CALENTADORES DE AGUA;1234339.36;816669.22
2015-01-01;5;;44;Real;24;;972;HERRAMIENTAS DE PLOMERÍA;39603.62;19220.85
2015-01-01;1;;68;Real;24;;973;LLAVES;184206.95;102142.2
2015-01-01;8;;83;Real;24;;974;DESAGÜE Y ACCESORIOS;177661.03;94296.46
2015-01-01;1;;59;Real;24;;980;BOMBAS DE AGUA;113875.03;69468.75
2015-01-01;1;;59;Real;24;;984;FILTROS;25742.32;14827.81
2015-01-01;7;;66;Real;24;;985;LAVATRASTOS;80284.24;52217.52
2015-01-01;7;;66;Real;24;;986;SECADORES Y EXTRACTORES DE BAÑO;14071.07;7696.25
2015-01-01;8;;73;Real;24;;987;MUEBLES Y ESPEJOS;43397.19;26651.21
2015-01-01;4;;35;Real;25;;682;DECORACIÓN DE AUTOS;3318.77;1616.1
2015-01-01;4;;31;Real;25;;683;REPUESTOS DE AUTOS;326332.46;218251.1
2015-01-01;1;;1;Real;25;;965;SEGURIDAD AUTOMOTRIZ;56773.92;25966.1
2015-01-01;2;;20;Real;25;;993;ACCESORIOS DE AUTOS;238499.64;107361.92
2015-01-01;1;;8;Real;25;;994;COBERTORES;92362.81;50559.94
2015-01-01;1;;3;Real;25;;995;HERRAMIENTAS PARA VEHÍCULOS;321890.98;182512.94
2015-01-01;7;;65;Real;25;;996;ILUMINACIÓN;49599.16;22812.26
2015-01-01;1;;47;Real;25;;997;PORTAEQUIPAJE Y CARGA;50685.77;20426.89
2015-01-01;4;;39;Real;25;;998;LIMPIEZA Y MANTENIMIENTO;1363360.86;899877.82
