Depto;Departamento;Fam;Familia;anioretail;mesretail;ventasnetas;costos;Utilidad;% Margen
1;Juguetes;333;Peluches;2013;7;83553;-40883;42671;0.51
1;Juguetes;333;Peluches;2013;10;140589;-71141;69448;0.49
1;Juguetes;340;Eléctronicos y P/TV;2013;9;36;-652;-617;-17.27
1;Juguetes;899;Escolar;2013;1;2265;-1355;910;0.4
1;Juguetes;899;Escolar;2013;4;2075;-1253;822;0.4
1;Juguetes;899;Escolar;2013;11;1094;-1691;-597;-0.55
1;Juguetes;900;Barbie;2013;3;282064;-210022;72042;0.26
1;Juguetes;900;Barbie;2013;6;336638;-201279;135360;0.4
1;Juguetes;901;Belleza Niñas;2013;2;48073;-20084;27988;0.58
1;Juguetes;901;Belleza Niñas;2013;5;48203;-20322;27881;0.58
1;Juguetes;901;Belleza Niñas;2013;12;305834;-139920;165914;0.54
1;Juguetes;902;Hogar Niñas;2013;1;67368;-28440;38928;0.58
1;Juguetes;902;Hogar Niñas;2013;4;73224;-30396;42828;0.58
1;Juguetes;902;Hogar Niñas;2013;7;102758;-45147;57611;0.56
1;Juguetes;902;Hogar Niñas;2013;10;171177;-75617;95559;0.56
1;Juguetes;903;Muñecas;2013;1;217943;-107811;110132;0.51
1;Juguetes;903;Muñecas;2013;4;262171;-147093;115079;0.44
1;Juguetes;903;Muñecas;2013;7;306698;-143258;163439;0.53
1;Juguetes;904;Lanzadores;2013;2;70314;-37410;32904;0.47
1;Juguetes;904;Lanzadores;2013;9;137989;-84321;53668;0.39
1;Juguetes;904;Lanzadores;2013;12;973110;-562673;410437;0.42
1;Juguetes;905;Deportes;2013;3;116795;-58545;58250;0.5
1;Juguetes;905;Deportes;2013;6;145150;-76820;68329;0.47
1;Juguetes;906;Figuras de Acción;2013;3;367146;-330844;36303;0.1
1;Juguetes;906;Figuras de Acción;2013;6;471315;-264611;206704;0.44
1;Juguetes;907;Hobbies;2013;7;49749;-28611;21138;0.42
1;Juguetes;907;Hobbies;2013;10;76721;-49039;27682;0.36
1;Juguetes;908;Educativo;2013;5;34301;-18341;15959;0.47
1;Juguetes;908;Educativo;2013;8;71971;-44514;27457;0.38
1;Juguetes;908;Educativo;2013;11;55987;-34333;21654;0.39
1;Juguetes;909;Pistas;2013;1;55233;-29607;25625;0.46
1;Juguetes;909;Pistas;2013;8;114317;-66080;48236;0.42
1;Juguetes;909;Pistas;2013;11;217365;-126039;91326;0.42
1;Juguetes;910;Vehículos RC;2013;5;73684;-33882;39802;0.54
1;Juguetes;910;Vehículos RC;2013;8;99045;-65575;33469;0.34
1;Juguetes;333;Peluches;2013;1;77947;-36131;41816;0.54
1;Juguetes;333;Peluches;2013;4;89213;-65906;23307;0.26
